name,rating,ctype,highly_rated
TCS,3.2,IT Services & Consulting,"Promotions, Salary, Work Satisfaction"
Accenture,3.7,IT Services & Consulting,"Promotions, Salary, Work Satisfaction"
Wipro,3.6,IT Services & Consulting,"Promotions, Salary, Work Satisfaction"
Cognizant,3.7,IT Services & Consulting,"Promotions, Salary, Work Satisfaction"
Capgemini,3.6,IT Services & Consulting,"Work Life Balance, Job Security"
HDFC Bank,3.8,Banking,Job Security
Infosys,3.5,IT Services & Consulting,Job Security
HCLTech,3.4,IT Services & Consulting,"Promotions, Salary, Work Satisfaction"
ICICI Bank,3.9,Banking,"Job Security, Promotions, Skill Development"
Tech Mahindra,3.3,IT Services & Consulting,"Promotions, Salary, Work Satisfaction"
Genpact,3.6,Analytics & KPO,Job Security
TP,3.8,BPO,
Axis Bank,3.6,Banking,"Promotions, Work Satisfaction, Company Culture"
Jio,4.4,Telecom,"Job Security, Company Culture, Work Life Balance"
Concentrix Corporation,3.5,BPO,Job Security
Amazon,3.9,Internet,"Company Culture, Work Life Balance, Salary"
Reliance Retail,3.9,Retail,"Job Security, Work Life Balance, Skill Development"
iEnergizer,4.5,BPO,"Job Security, Salary, Company Culture"
LTM Limited,3.6,IT Services & Consulting,"Promotions, Salary, Work Satisfaction"
HDB Financial Services,3.9,NBFC,Work Life Balance
IBM,3.9,IT Services & Consulting,"Work Life Balance, Company Culture, Job Security"
Larsen & Toubro Limited,3.9,Engineering & Construction,"Job Security, Skill Development, Salary"
Deloitte,3.6,Management Consulting,"Promotions, Work Life Balance, Work Satisfaction"
Kotak Mahindra Bank,3.6,Banking,"Promotions, Work Satisfaction, Company Culture"
Reliance Industries,4.0,Oil & Gas,"Job Security, Work Life Balance, Skill Development"
Vodafone Idea,3.9,Telecom,"Salary, Company Culture, Work Life Balance"
Bharti Airtel,3.8,Telecom,Promotions
BYJU'S,3.2,EdTech,"Job Security, Company Culture, Work Life Balance"
WNS,3.3,IT Services & Consulting,"Promotions, Salary, Skill Development"
IDFC FIRST Bank,4.0,Banking,"Salary, Company Culture, Work Life Balance"
Ernst & Young,3.4,Management Consulting,"Promotions, Work Life Balance, Work Satisfaction"
IndusInd Bank,3.4,Banking,"Promotions, Company Culture, Work Satisfaction"
AU Small Finance Bank,3.8,Banking,Promotions
Tata Motors,4.1,Automobile,"Company Culture, Work Life Balance, Job Security"
Bajaj Finserv,3.9,NBFC,"Salary, Skill Development, Job Security"
Flipkart,3.9,Internet,"Company Culture, Skill Development, Salary"
PwC,3.3,Management Consulting,"Promotions, Work Life Balance, Work Satisfaction"
Muthoot FinCorp,4.5,NBFC,"Company Culture, Work Life Balance, Job Security"
Mahindra & Mahindra,4.0,Automobile,"Job Security, Skill Development, Company Culture"
HDFC Life,3.8,Insurance,Skill Development
Infosys BPM,3.5,BPO,Job Security
DXC Technology,3.6,IT Services & Consulting,Work Life Balance
Bandhan Bank,3.6,Banking,"Promotions, Work Satisfaction, Company Culture"
Digitide Solutions,3.4,IT Services & Consulting,"Promotions, Salary, Work Satisfaction"
Yes Bank,3.6,Banking,"Job Security, Promotions, Company Culture"
Mphasis,3.3,IT Services & Consulting,"Promotions, Salary, Work Satisfaction"
Tata Steel,4.0,Iron & Steel,"Work Life Balance, Job Security, Skill Development"
Quess,3.8,Recruitment,"Promotions, Job Security"
UltraTech Cement,4.1,Building Material,"Job Security, Skill Development, Company Culture"
Asian Paints,3.9,Chemicals,"Salary, Skill Development, Job Security"
Startek,3.0,BPO,"Promotions, Salary, Company Culture"
Maruti Suzuki,4.1,Automobile,"Job Security, Salary, Company Culture"
Bajaj Finance,3.9,NBFC,"Salary, Skill Development, Job Security"
Paytm,3.2,FinTech,"Job Security, Company Culture, Promotions"
Sutherland Global Services,3.3,BPO,"Promotions, Salary, Work Satisfaction"
Shriram Finance,3.9,NBFC,"Job Security, Work Life Balance"
Coforge,3.3,IT Services & Consulting,"Promotions, Work Satisfaction, Job Security"
